ID	Arc_ID	BeginNode	EndNode	LeftPolygon	RightPolygon	MiddlePtsNum	MiddlePtsCooridinate	LX	LY	RX	RY
20	778081	15023640	1000054	1209524624	77371072	13	 (38431535.0470897,3740860.21436,-360),(38431642.022,3740769.93983689,-360),(38431684.448682,3740729.46832,-360),(38431681.9991834,3740598.72228,-360),(38431667.8685245,3740467.97624,-360),(38431796.044,3740373.87065128,-360),(38431950.066,3740457.37921874,-360),(38431983.5774288,3740467.97624,-360),(38432104.088,3740488.52303691,-360),(38432145.5137301,3740467.97624,-360),(38432258.11,3740439.64315325,-360),(38432336.3877996,3740467.97624,-360),(38432412.132,3740503.56013488,-360)	38431488	3740373.87065128	38432461.4149857	3740882.0636604
21	778082	1000054	30022640	-1783192766	-133247616	12	 (38432566.154,3740523.09735549,-360),(38432720.176,3740549.07547808,-360),(38432795.8485969,3740598.72228,-360),(38432874.198,3740653.66185923,-360),(38433028.22,3740661.38429895,-360),(38433182.242,3740632.13831505,-360),(38433335.8889829,3740598.72228,-360),(38433336.264,3740598.56527535,-360),(38433490.286,3740582.84403888,-360),(38433542.7895075,3740598.72228,-360),(38433644.308,3740633.9654949,-360),(38433761.7763648,3740729.46832,-360)	38432461.4149857	3740509.81153121	38433798.33	3740746.75066157
22	778083	-14027420	15025580	123774175	1181245568	0		38431356.5539864	3741149.50880137	38431488	3741252.45248
23	778084	15025580	15028580	-2026062496	1209524624	5	 (38431642.022,3741143.26243467,-420),(38431762.2418287,3741252.45248,-420),(38431778.020655,3741383.19852,-420),(38431679.391262,3741513.94456,-420),(38431642.022,3741531.08772196,-420)	38431488	3741143.26243467	38431778.020655	3741583.43300918
24	778085	15028580	-14027420	123774175	1181245568	2	 (38431435.7035649,3741513.94456,-420),(38431345.4349741,3741383.19852,-420)	38431345.4349741	3741252.45248	38431488	3741583.43300918
25	778086	-27024420	-27024420	NULL	778086	3	 (38433490.286,3740859.5973066,-420),(38433491.1986995,3740860.21436,-420),(38433490.286,3740862.36602874,-420)	38433472.0531267	3740859.5973066	38433491.1986995	3740862.36602874
26	778087	-14028480	15026520	-477590132	123774175	0		38431485.9633607	3741369.94424324	38431488	3741383.19852
27	778088	15026520	15027520	-1651272928	-2026062496	1	 (38431491.3891324,3741383.19852,-480)	38431488	3741369.94424324	38431491.3891324	3741385.5561269
28	778089	15027520	-14028480	-477590132	123774175	0		38431485.9633607	3741383.19852	38431488	3741385.5561269
0	-778315	1000044	1000045	-422445056	1209524624	0		38431488	3741644.6906	38433798.33	3741644.6906
0	-778577	1000045	30022640	-422445056	-1783192766	0		38433798.33	3740746.75066157	38433798.33	3741644.6906
